,Actividad_relativa_p50,Actividad_relativa_iqr,Superavit_calorico_basal_p50,Superavit_calorico_basal_iqr,HRV_SDNN_p50,HRV_SDNN_iqr,Delta_cardiaco_p50,Delta_cardiaco_iqr
Actividad_relativa_p50,1.0,0.2999308057647158,0.2991838026427382,0.16047210391936445,-0.29797728171460214,-0.12576129036166242,0.09274417584403219,0.04952085679453928
Actividad_relativa_iqr,0.2999308057647158,1.0,0.09237336879904742,0.14595401460833896,-0.25384838634945855,-0.06388937479379947,0.17772793989841065,0.08831888253936104
Superavit_calorico_basal_p50,0.2991838026427382,0.09237336879904742,1.0,0.48735406687010013,0.20821988038906597,0.15288878050298843,0.12286314215577938,0.06753205770441764
Superavit_calorico_basal_iqr,0.16047210391936445,0.14595401460833896,0.48735406687010013,1.0,0.10610044004744681,0.05549555917906896,0.043382249903203295,0.08814774328844618
HRV_SDNN_p50,-0.29797728171460214,-0.25384838634945855,0.20821988038906597,0.10610044004744681,1.0,0.3151719278715249,-0.4649410230186367,-0.11463873809816837
HRV_SDNN_iqr,-0.12576129036166242,-0.06388937479379947,0.15288878050298843,0.05549555917906896,0.3151719278715249,1.0,-0.029980403523223287,-0.010731016290333463
Delta_cardiaco_p50,0.09274417584403219,0.17772793989841065,0.12286314215577938,0.043382249903203295,-0.4649410230186367,-0.029980403523223287,1.0,0.059408747151957396
Delta_cardiaco_iqr,0.04952085679453928,0.08831888253936104,0.06753205770441764,0.08814774328844618,-0.11463873809816837,-0.010731016290333463,0.059408747151957396,1.0
