k,inertia,silhouette_mean,silhouette_std,cluster_sizes
2,6413.6893076852775,0.22770610539724975,0.1627983019297891,"{0: 415, 1: 970}"
3,5616.449556119065,0.1877936901884723,0.12723765552886282,"{0: 251, 1: 433, 2: 701}"
4,5123.631173497781,0.17012145237486398,0.11271988232576141,"{0: 213, 1: 406, 2: 620, 3: 146}"
5,4716.349868439027,0.154497630745942,0.10468045167989119,"{0: 642, 1: 213, 2: 271, 3: 258, 4: 1}"
6,4292.973986971112,0.16032085596134915,0.10697754180548154,"{0: 2, 1: 479, 2: 141, 3: 208, 4: 199, 5: 356}"
