Fecha;Numero_horas_con_deambulacion;Numero_horas_estacionarias;Total_hrs_monitorizadas;Hrs_sin_registro;min_totales_en_movimiento;Total_min_de_ejercicio_diario;distancia_caminada_en_km;Numero_pasos_por_dia;FCr_promedio_diario;Gasto_calorico_activo;HRV_SDNN;FC_al_caminar_promedio_diario;ratio_mov;ratio_ejercicio;superavit_calorico;cobertura_monitorizacion;ratio_actividad_sedentaria
07/12/2018;19;0;19;5;132;67;10.9557621;12717;44;964.106;85.7511;82;0.115789474;0.507575758;43.01644172;0.791666667;#¡DIV/0!
08/12/2018;18;3;21;3;132;25;6.57037651;7173;46;842.142;62.4906;80;0.104761905;0.189393939;37.574657;0.875;6
09/12/2018;14;8;22;2;132;8;5.1080001;6151;46;626.885;89.5761;82.5;0.1;0.060606061;27.97032906;0.916666667;1.75
10/12/2018;16;0;16;8;132;57;9.17459171;10473;48.6081;758.955;70.68385;77;0.1375;0.431818182;33.86302287;0.666666667;#¡DIV/0!
11/12/2018;14;4;18;6;132;40;4.1622619;5029;55;480.085;56.4458;88;0.122222222;0.303030303;21.42041272;0.75;3.5
12/12/2018;9;15;24;0;132;1.87;1.22295886;1450.1;62;263.886;27.9981225;82;0.091666667;0.014166667;11.77405466;1;0.6
13/12/2018;13;4;17;7;132;5;2.5991725;3065;51;430.676;22.93967342;94;0.129411765;0.037878788;19.21588399;0.708333333;3.25
14/12/2018;17;8;25;-1;132;9;6.46340034;7806;48;814.125;106.415;82.25;0.088;0.068181818;36.32459565;1.041666667;2.125
15/12/2018;13;0;13;11;132;6;4.7896292;5913;47;637.719;106.8476;86.5;0.169230769;0.045454545;28.45372002;0.541666667;#¡DIV/0!
16/12/2018;7;9;16;8;132;25;1.6772808;2014;51;211.9961;100.12005;96;0.1375;0.189393939;9.45883324;0.666666667;0.777777778
17/12/2018;17;5;22;2;132;65;12.19721341;14444;49;1044.052;60.7058;83;0.1;0.492424242;46.58346905;0.916666667;3.4
18/12/2018;16;1;17;7;132;15;6.4724551;7822;53;862.89;46.315;87.5;0.129411765;0.113636364;38.50039041;0.708333333;16
19/12/2018;18;0;18;6;132;18;7.3916827;8781;51;897.842;45.8844;87.5;0.122222222;0.136363636;40.0598773;0.75;#¡DIV/0!
20/12/2018;15;8;23;1;132;10;3.5350579;4291;47;629.551;66.66658;85.5;0.095652174;0.075757576;28.08928054;0.958333333;1.875
21/12/2018;15;8;23;1;132;21;7.77368392;9324;48;795.484;80.72666;85;0.095652174;0.159090909;35.49287228;0.958333333;1.875
22/12/2018;8;0;8;16;132;5;4.0502723;4805;56;455.356;64.57859;91;0.275;0.037878788;20.31705521;0.333333333;#¡DIV/0!
23/12/2018;8;0;8;16;132;20;6.3299606;7604;63.4;570.334;66.66658;86.5;0.275;0.151515152;25.44713887;0.333333333;#¡DIV/0!
24/12/2018;13;7;20;4;132;20;6.64561067;7962;48;716.933;63.6229;97;0.11;0.151515152;31.98808701;0.833333333;1.857142857
25/12/2018;7;1;8;16;132;4;1.4510981;1742;58;235.304;62.16435;103;0.275;0.03030303;10.49878416;0.333333333;7
26/12/2018;7;6;13;11;132;5;2.1324633;2542;50;249.154;85.8997;91;0.169230769;0.037878788;11.11674289;0.541666667;1.166666667
27/12/2018;15;1;16;8;132;33;11.5928073;13835;57;1061.804;39.5996;82;0.1375;0.25;47.37552705;0.666666667;15
28/12/2018;6;6;12;12;132;12;2.6346334;3143;47;316.387;34.6659;116;0.183333333;0.090909091;14.11654211;0.5;1
29/12/2018;14;8;22;2;132;14;6.0535094;7347;44;715.267;33.96496667;114;0.1;0.106060606;31.91375349;0.916666667;1.75
30/12/2018;16;1;17;7;132;12;7.76806506;9205;49;905.584;57.1724;79;0.129411765;0.090909091;40.40530954;0.708333333;16
31/12/2018;14;10;24;0;132;17;10.3664503;12642;43.3;1021.192;41.709575;100;0.091666667;0.128787879;45.56350251;1;1.4
01/01/2019;5;2;7;17;132;38;8.2638556;9953;59.4;653.481;35.07215;92;0.314285714;0.287878788;29.15698829;0.291666667;2.5
02/01/2019;11;9;20;4;132;21;11.98949669;14584;49;1111.448;45.8844;92;0.11;0.159090909;49.59054099;0.833333333;1.222222222
03/01/2019;12;0;12;12;132;10;9.8089758;11821;49;885.264;22.091465;95;0.183333333;0.075757576;39.49867262;0.5;#¡DIV/0!
04/01/2019;17;0;17;7;132;36;17.30217958;20644.2;55;1425.9389;59.355;95;0.129411765;0.272727273;63.62248299;0.708333333;#¡DIV/0!
05/01/2019;15;1;16;8;132;18;16.4362793;19639;53;1319.961;55.1302;83.5;0.1375;0.136363636;58.89396542;0.666666667;15
06/01/2019;11;8;19;5;132;26;12.0004104;14135;50;1070.909;50.42735;87.75;0.115789474;0.196969697;47.78177356;0.791666667;1.375
07/01/2019;16;0;16;8;132;27;12.95138151;15322;58;1213.157;46.0684625;91.5;0.1375;0.204545455;54.12858896;0.666666667;#¡DIV/0!
08/01/2019;18;0;18;6;132;20;10.1290912;12076;53;1057.421;45.5547;106;0.122222222;0.151515152;47.17996654;0.75;#¡DIV/0!
09/01/2019;16;0;16;8;132;20;14.0549166;16849;49;1196.392;48.1862;93.25;0.1375;0.151515152;53.38056888;0.666666667;#¡DIV/0!
10/01/2019;18;0;18;6;132;19;10.79344951;12631;52;1069.861;43.6321375;93;0.122222222;0.143939394;47.73501394;0.75;#¡DIV/0!
11/01/2019;18;0;18;6;132;19;9.2768335;11017;40.3;1046.81;45.5547;92.25;0.122222222;0.143939394;46.70652538;0.75;#¡DIV/0!
12/01/2019;11;9;20;4;132;20;8.3159708;9824;44;804.937;104.180595;88.5;0.11;0.151515152;35.91464584;0.833333333;1.222222222
13/01/2019;12;11;23;1;132;16;5.82792114;6955;46;690.515;82.37393333;92.25;0.095652174;0.121212121;30.80936977;0.958333333;1.090909091
14/01/2019;14;6;20;4;132;16;8.9717956;10528;41;925.732;68.8699;92.25;0.11;0.121212121;41.30427217;0.833333333;2.333333333
15/01/2019;16;0;16;8;132;17;12.00845201;14296;55;1106.618;30.9612;95;0.1375;0.128787879;49.37503625;0.666666667;#¡DIV/0!
16/01/2019;18;1;19;5;132;20;10.6478871;12663;51;1080.734;56.6569;91.5;0.115789474;0.151515152;48.22014501;0.791666667;18
17/01/2019;18;6;24;0;132;9;7.9983213;9605;45;871.465;56.38835;92.25;0.091666667;0.068181818;38.8829894;1;3
18/01/2019;17;2;19;5;132;21;7.6086222;9195;47;868.22;60.973;86;0.115789474;0.159090909;38.73820413;0.791666667;8.5
19/01/2019;15;9;24;0;132;19;7.1755095;9068;45;850.742;91.62865;90;0.091666667;0.143939394;37.95837144;1;1.666666667
20/01/2019;7;3;10;14;132;23;6.4772645;7182;54;561.7;46.0876;99;0.22;0.174242424;25.06190742;0.416666667;2.333333333
21/01/2019;17;7;24;0;132;24;9.232538;10847;47;1018.505;86.43055;86;0.091666667;0.181818182;45.44361405;1;2.428571429
22/01/2019;17;6;23;1;132;28;9.4585177;11214;43;991.661;76.60046667;91.5;0.095652174;0.212121212;44.24588957;0.958333333;2.833333333
23/01/2019;17;0;17;7;132;20;9.0174339;10659;52;1068.395;60.0107;118;0.129411765;0.151515152;47.66960402;0.708333333;#¡DIV/0!
24/01/2019;18;0;18;6;132;8.3;7.6649178;9094;51.8919;1017.722;78.12285;83.5;0.122222222;0.062878788;45.40867819;0.75;#¡DIV/0!
25/01/2019;19;6;25;-1;132;26;8.1935793;9888;50;1044.938;40.94925;84;0.088;0.196969697;46.62300056;1.041666667;3.166666667
26/01/2019;13;4;17;7;132;9;3.708286749;4435.7;42;517.2269;60.7834;92;0.129411765;0.068181818;23.07760848;0.708333333;3.25
27/01/2019;14;10;24;0;132;13;4.50027853;5464;45;612.208;80.63468;68;0.091666667;0.098484848;27.31547128;1;1.4
28/01/2019;15;6;21;3;132;83.4;9.8520849;11281;47;734.13;38.32212;106;0.104761905;0.631818182;32.75538204;0.875;2.5
29/01/2019;18;6;24;0;132;68;8.4974464;9889;51;851.184;41.67026667;88;0.091666667;0.515151515;37.97809258;1;3
30/01/2019;19;6;25;-1;132;65;9.35539343;10490;52;961.231;49.1714;88;0.088;0.492424242;42.88816509;1.041666667;3.166666667
31/01/2019;16;5;21;3;132;42;5.6863499;6735;45;652.124;67.20494;83.5;0.104761905;0.318181818;29.09644172;0.875;3.2
01/02/2019;16;8;24;0;132;15;6.4025314;7637;48;815.238;58.3708;87;0.091666667;0.113636364;36.37425544;1;2
02/02/2019;16;6;22;2;132;3;4.3392894;5295;48;622.885;72.318325;85;0.1;0.022727273;27.79185722;0.916666667;2.666666667
03/02/2019;12;10;22;2;132;76;5.91701628;17436;47;637.834;58.54121667;108;0.1;0.575757576;28.45885109;0.916666667;1.2
04/02/2019;18;6;24;0;132;20;6.989054532;8437;48;888.97;60.0046;80;0.091666667;0.151515152;39.66402677;1;3
05/02/2019;17;7;24;0;132;25;9.832661747;11844;46;1086.78;63.45822;85;0.091666667;0.189393939;48.48990519;1;2.428571429
06/02/2019;17;1;18;6;132;51;10.66963353;12470;52.19;928.924;87.7998;77;0.122222222;0.386363636;41.44669269;0.75;17
07/02/2019;15;7;22;2;132;7;6.42091469;7890;46;707.568;56.00345;91;0.1;0.053030303;31.57023982;0.916666667;2.142857143
08/02/2019;19;6;25;-1;132;105;7.872112397;9317;43;773.006;83.8601;86;0.088;0.795454545;34.4899498;1.041666667;3.166666667
09/02/2019;11;2;13;11;132;14;5.40499141;6861;50;598.107;53.3005155;86;0.169230769;0.106060606;26.68631344;0.541666667;5.5
10/02/2019;11;13;24;0;132;113.19;1.915065354;17763.04;44;343.946;63.252;108;0.091666667;0.8575;15.34616843;1;0.846153846
11/02/2019;13;10;23;1;132;29;5.26869824;6316;46;568.107;93.66013333;97;0.095652174;0.21969697;25.34777468;0.958333333;1.3
12/02/2019;18;6;24;0;132;57;8.655534297;10478;43;877.52;131.943803;91;0.091666667;0.431818182;39.15315114;1;3
13/02/2019;16;7;23;1;132;65;8.848123013;10552;45;710.586;90.448275;91;0.095652174;0.492424242;31.70489682;0.958333333;2.285714286
14/02/2019;7;6;13;11;132;68;4.93680143;5645;44;256.62457;93.04553333;73;0.169230769;0.515151515;11.45006447;0.541666667;1.166666667
15/02/2019;11;1;12;12;132;8;4.31211437;5316;47;476.454;77.00156667;85;0.183333333;0.060606061;21.25840491;0.5;11
16/02/2019;16;9;25;-1;132;54;6.236296051;10920;42;841.583;77.25304;86;0.088;0.409090909;37.54971556;1.041666667;1.777777778
17/02/2019;5;0;5;19;132;1.54;1.183840046;3000.61;47;261.509;77.12730333;95.25;0.44;0.011666667;11.66799777;0.208333333;#¡DIV/0!
18/02/2019;8;1;9;15;132;11;5.09597388;4930;50;544.43;80.5473;76;0.244444444;0.083333333;24.29135527;0.375;8
19/02/2019;18;6;24;0;132;56;8.434089684;10129;42;782.923;97.7995;87;0.091666667;0.424242424;34.9324261;1;3
20/02/2019;18;0;18;6;132;72;10.41244131;12598;46;881.853;83.8601;79;0.122222222;0.545454545;39.34648076;0.75;#¡DIV/0!
21/02/2019;16;8;24;0;132;55;10.56047556;12607;37;905.576;95.5386;77.5;0.091666667;0.416666667;40.40495259;1;2
22/02/2019;17;8;25;-1;132;39;6.389188584;7850;42;738.744;103.692;98.5;0.088;0.295454545;32.9612493;1.041666667;2.125
23/02/2019;17;7;24;0;132;5;5.90780582;7524;37;733.305;99.43525;82;0.091666667;0.037878788;32.71857223;1;2.428571429
24/02/2019;10;5;15;9;132;111;10.18340855;11839;39;1307.06553;93.35283333;84;0.146666667;0.840909091;58.31859587;0.625;2
25/02/2019;14;1;15;9;132;92;8.699877085;10363;46;649.168;86.7801;91;0.146666667;0.696969697;28.96455103;0.625;14
26/02/2019;15;7;22;2;132;53;7.58867148;9171;43;633.474;79.8853;92.5;0.1;0.401515152;28.26431679;0.916666667;2.142857143
27/02/2019;17;7;24;0;132;53;7.842611279;9674;42;784.516;92.33455;87;0.091666667;0.401515152;35.00350251;1;2.428571429
28/02/2019;14;8;22;2;132;89;7.44936584;8904;44;596.992;57.6708;90.75;0.1;0.674242424;26.63656442;0.916666667;1.75
01/03/2019;16;7;23;1;132;79;8.45755127;10041;46;691.361;82.98036;86;0.095652174;0.598484848;30.84711656;0.958333333;2.285714286
02/03/2019;15;4;19;5;132;17;5.58976678;7036;40.849216;743.872;93.6608;114;0.115789474;0.128787879;33.1900502;0.791666667;3.75
03/03/2019;8;15;23;1;132;46;1.709144045;8085;40.849216;263.917;86.67255;91.625;0.095652174;0.348484848;11.77543781;0.958333333;0.533333333
04/03/2019;15;8;23;1;132;127;10.52997259;12372;43;708.626;91.303325;92;0.095652174;0.962121212;31.61744562;0.958333333;1.875
05/03/2019;17;7;24;0;132;90;10.94952635;12581;42;739.984;91.8189375;92;0.091666667;0.681818182;33.01657557;1;2.428571429
06/03/2019;17;7;24;0;132;49;6.657337054;8071;42;687.885;76.76945;79;0.091666667;0.371212121;30.69202454;1;2.428571429
07/03/2019;8;6;14;10;132;13;4.043697734;4969;40.849216;417.991;102.163;90.75;0.157142857;0.098484848;18.64990519;0.583333333;1.333333333
26/07/2019;9;2;11;13;132;12;3.01984246;3763;49;370.432;65.0566;89;0.2;0.090909091;16.52791969;0.458333333;4.5
27/07/2019;15;1;16;8;132;10;6.573055625;8167;48;691.855;96.4348;74;0.1375;0.075757576;30.86915784;0.666666667;15
28/07/2019;16;8;24;0;132;13;5.95462075;7426;40.849216;745.698;83.96412;88;0.091666667;0.098484848;33.27152259;1;2
29/07/2019;15;6;21;3;132;64;11.70632434;13772;47;757.737;72.21232;83.5;0.104761905;0.484848485;33.80867819;0.875;2.5
30/07/2019;17;1;18;6;132;33;10.83339196;13419;50;856.016;68.48392;84.5;0.122222222;0.25;38.19368656;0.75;17
31/07/2019;17;7;24;0;132;53;9.261954537;11170;42;764.217;104.60634;76;0.091666667;0.401515152;34.09780257;1;2.428571429
01/08/2019;15;3;18;6;132;54;7.951391924;9668;44;709.419;90.63164;87.5;0.122222222;0.409090909;31.65282766;0.75;5
02/08/2019;18;6;24;0;132;58;8.433347733;10515;43;743.86;121.8012117;86;0.091666667;0.439393939;33.18951478;1;3
03/08/2019;16;8;24;0;132;30;8.274730159;10477;41.3;951.748;81.718;85.5;0.091666667;0.227272727;42.46505298;1;2
04/08/2019;15;8;23;1;132;32;10.26789536;12780;43;1046.307;62.40848;98;0.095652174;0.242424242;46.68408254;0.958333333;1.875
05/08/2019;18;2;20;4;132;6.5;8.807144045;10845;49;850.619;73.21236;81;0.11;0.049242424;37.95288344;0.833333333;9
06/08/2019;18;6;24;0;132;42;7.96202423;9802;43;774.518;72.23978;85.5;0.091666667;0.318181818;34.55741216;1;3
07/08/2019;13;5;18;6;132;14;5.201490727;6623;43;578.98;81.430325;77;0.122222222;0.106060606;25.83290574;0.75;2.6
08/08/2019;20;4;24;0;132;25;8.20359495;10228;44;872.454;78.43114286;83.25;0.091666667;0.189393939;38.92711656;1;5
09/08/2019;10;6;16;8;132;12;4.38989434;5493;43;475.4602;103.40765;84.375;0.1375;0.090909091;21.21406358;0.666666667;1.666666667
10/08/2019;13;0;13;11;132;13;4.158681534;5262;59.1;535.488;48.0716;83.25;0.169230769;0.098484848;23.89238148;0.541666667;#¡DIV/0!
11/08/2019;17;6;23;1;132;10;3.907902361;4993.2;48;538.109;62.18802;91.5;0.095652174;0.075757576;24.00932515;0.958333333;2.833333333
12/08/2019;17;6;23;1;132;79;9.835945528;11543;44;963.336;52.18045;99;0.095652174;0.598484848;42.98208589;0.958333333;2.833333333
13/08/2019;16;2;18;6;132;21;8.00936562;10035;50;930.087;27.3116435;81;0.122222222;0.159090909;41.49858338;0.75;8
14/08/2019;16;8;24;0;132;29;6.201680165;7776;52;770.94;66.081;83.25;0.091666667;0.21969697;34.3977691;1;2
15/08/2019;18;7;25;-1;132;29;10.068701;12473;47.4187;1023.985;78.26348;82.5;0.088;0.21969697;45.68812047;1.041666667;2.571428571
16/08/2019;18;5;23;1;132;26;5.721595547;7190;47;849.382;71.7529;94.5;0.095652174;0.196969697;37.89769102;0.958333333;3.6
17/08/2019;17;6;23;1;132;25;6.72804507;8461;43;1051.454;68.88015;89.5;0.095652174;0.189393939;46.91373118;0.958333333;2.833333333
18/08/2019;12;6;18;6;132;24;5.48946336;6701;57;714.928;53.9194;90.5;0.122222222;0.181818182;31.898628;0.75;2
