archivo,variable,count,mean,std,var,min,p10,median,p90,max,iqr,cv,mad_scaled
DB_final_v3_u6,Numero_horas_con_deambulacion,1861,10.969908651262761,4.006064950734122,16.048556389500384,0.0,5.0,12.0,16.0,24.0,6.0,0.36518671924154794,4.4478
DB_final_v3_u6,Numero_horas_estacionarias,1861,1.398710370768404,2.25357027428114,5.078578981123573,0.0,0.0,1.0,5.0,16.0,1.0,1.6111772110784484,1.4826
DB_final_v3_u6,Total_hrs_monitorizadas,1861,12.368619022031167,4.649033160608092,21.61350932843367,1.0,6.0,13.0,17.0,25.0,6.0,0.37587326057397075,4.4478
DB_final_v3_u6,Hrs_sin_registro,1861,11.631380977968833,4.649033160608092,21.61350932843367,-1.0,7.0,11.0,18.0,23.0,6.0,0.39969743656526197,4.4478
DB_final_v3_u6,min_totales_en_movimiento,1861,129.8130037614186,60.94908383280743,3714.790820058588,1.0,49.0,129.0,209.0,323.0,77.0,0.4695144713300437,56.3388
DB_final_v3_u6,Total_min_de_ejercicio_diario,1861,6.2302256851155295,6.039592590458088,36.47667865871623,1.0,1.0,5.0,12.0,123.3599999999998,5.0,0.9694018958072613,2.9652
DB_final_v3_u6,distancia_caminada_en_km,1861,3.721380591387993,1.836128655098952,3.3713684380754865,0.0034331216999999,1.25056592,3.7011954,5.9187404,14.282409119000004,2.345851,0.49339985793125135,1.7384052835799997
DB_final_v3_u6,Numero_pasos_por_dia,1861,4783.364648038689,2323.097469846533,5396781.854407364,14.2,1658.0,4738.0,7528.0,19531.200000000004,3002.0,0.48566179682727445,2223.9
DB_final_v3_u6,FCr_promedio_diario,1861,59.22759252391188,8.664948014815401,75.08132409945337,39.6,49.0,58.0,70.0,103.6836,10.0,0.1462991765420334,7.412999999999999
DB_final_v3_u6,Gasto_calorico_activo,1861,443.3609886620097,220.49906050803546,48619.83568492628,0.07201,108.193,473.089,693.253,1670.3486700000003,309.94800000000004,0.49733527790405113,220.31435999999994
DB_final_v3_u6,HRV_SDNN,1861,34.77705001522863,9.587122170693654,91.9129115158058,9.8435575,23.98483333333333,33.6241,47.37804,93.68392433333338,10.823352000000003,0.27567381840885063,7.984838819999999
DB_final_v3_u6,FC_al_caminar_promedio_diario,1861,105.28433100483612,7.7074760031958105,59.40518633983926,76.0,96.5,105.0,114.0,159.0,8.0,0.07320629698299337,5.9304
