archivo,variable,count,mean,std,var,min,p10,median,p90,max,iqr,cv,mad_scaled
DB_final_v3_u9,Numero_horas_con_deambulacion,2070,13.328019323671498,3.39293005017605,11.511974325387653,0.0,9.0,14.0,17.0,22.0,4.0,0.25457121330473825,2.9652
DB_final_v3_u9,Numero_horas_estacionarias,2070,6.5,3.3267011514397886,11.066940550990816,0.0,1.0,7.0,10.0,18.0,5.0,0.5118001771445828,2.9652
DB_final_v3_u9,Total_hrs_monitorizadas,2070,19.828019323671498,4.4102551346213374,19.45035035245387,2.0,14.0,21.0,24.0,27.0,6.0,0.2224254002696172,4.4478
DB_final_v3_u9,Hrs_sin_registro,2070,4.171980676328502,4.4102551346213374,19.45035035245387,-3.0,0.0,3.0,10.0,22.0,6.0,1.0571130301836695,4.4478
DB_final_v3_u9,min_totales_en_movimiento,2070,135.67004830917875,61.24944301142538,3751.4942692098452,1.0,60.80000000000001,132.0,210.0,524.0,72.0,0.4514588427936865,53.373599999999996
DB_final_v3_u9,Total_min_de_ejercicio_diario,2070,33.294821256038645,27.79425840409965,772.5208002338641,1.0,6.0,25.0,72.0,183.0999999999999,36.0,0.8347922396207079,23.7216
DB_final_v3_u9,distancia_caminada_en_km,2070,5.047732179379208,2.6635020989161253,7.094243430930605,0.1034345218,2.1132005417,4.58930589,8.372533665,32.89973452899998,3.2044643791,0.5276631176663763,2.3250277101156
DB_final_v3_u9,Numero_pasos_por_dia,2070,6283.379922705314,3103.770591245279,9633391.883079069,136.86,2685.7,5819.5,10263.500000000004,25511.699999999997,3904.25,0.49396513173262774,2873.2788
DB_final_v3_u9,FCr_promedio_diario,2070,50.414337133816424,5.749246135161374,33.053831122667994,37.0,44.0,50.0,57.4,142.6058400000001,7.0,0.11403990336917377,4.4478
DB_final_v3_u9,Gasto_calorico_activo,2070,822.5696764251209,560.7750338721191,314468.6386142764,18.660400000000003,429.4891,770.8765000000001,1227.7956000000004,18313.12589999999,369.67550000000006,0.6817356023981355,271.26687419999996
DB_final_v3_u9,HRV_SDNN,2070,56.92448102611737,16.83819182083902,283.5247037953701,14.525408233333334,37.834967500000005,54.626171666666664,79.63827400000001,135.44089000000002,19.65707083333333,0.29579877615596595,14.474996920999992
DB_final_v3_u9,FC_al_caminar_promedio_diario,2070,96.06832106280193,9.451590503354646,89.33256304310375,65.5,85.0,95.25,107.5,147.0,11.5,0.09838405000516183,8.524949999999999
