archivo,variable,count,mean,std,var,min,p10,median,p90,max,iqr,cv,mad_scaled
DB_final_v3_u5,Numero_horas_con_deambulacion,96,13.229166666666666,2.8376386278834276,8.052192982456141,2.0,9.5,14.0,16.0,19.0,3.0,0.21449866793449532,2.9652
DB_final_v3_u5,Numero_horas_estacionarias,96,1.2708333333333333,1.7620512368837373,3.1048245614035084,0.0,0.0,1.0,3.0,10.0,2.0,1.3865321208265475,1.4826
DB_final_v3_u5,Total_hrs_monitorizadas,96,14.5,3.4549735317746153,11.936842105263159,3.0,10.0,15.0,18.0,24.0,3.0,0.2382740366741114,2.9652
DB_final_v3_u5,Hrs_sin_registro,96,9.5,3.4549735317746153,11.936842105263159,0.0,6.0,9.0,14.0,21.0,3.0,0.3636814243973279,2.9652
DB_final_v3_u5,min_totales_en_movimiento,96,162.15625,84.8688558740391,7202.722697368421,25.0,70.5,146.0,275.0,410.0,136.25,0.5233770260106477,88.95599999999999
DB_final_v3_u5,Total_min_de_ejercicio_diario,96,13.369270833333333,8.414930996344868,70.81106367324563,1.3,4.5,11.0,26.5,43.000000000000014,11.25,0.629423332150927,7.412999999999999
DB_final_v3_u5,distancia_caminada_en_km,96,4.5705706600000005,2.304010280107782,5.3084633708423405,1.0506131,1.9747325,4.319105195,7.1605905,10.865419649999998,3.3867146400000006,0.5040968516845513,2.5472199965100004
DB_final_v3_u5,Numero_pasos_por_dia,96,5697.479166666667,2795.7707874918824,7816334.296192981,1368.6,2507.5,5477.5,8979.0,13362.899999999998,3935.25,0.4907031172397528,2926.6524
DB_final_v3_u5,FCr_promedio_diario,96,64.54270833333334,8.702519233461764,75.73384100877192,46.0,53.5,64.5,75.5,87.69999999999999,11.25,0.13483349952588392,8.1543
DB_final_v3_u5,Gasto_calorico_activo,96,428.73601510416665,184.49617280151085,34038.83777840495,89.46799999999999,204.4805,412.433,680.8705,1024.90275,243.1932500000001,0.43032580959331174,187.04778120000003
DB_final_v3_u5,HRV_SDNN,96,38.33603770347222,11.147883580938464,124.27530833415739,17.521630000000002,22.699116666666665,37.01159583333333,54.101487500000005,66.12460749999997,12.021975625000003,0.2907938391329567,9.105670829500003
DB_final_v3_u5,FC_al_caminar_promedio_diario,96,113.36197916666667,9.148761045805362,83.69982867324562,82.0,102.5,113.5,125.5,140.0,11.375,0.08070396364864714,8.524949999999999
