variable,n,mean,std,iqr,mad,cv,p10,p50,p90
Actividad_relativa,1532,0.11847714188229415,0.06371938845553722,0.059375,0.04478687500000001,0.5378201013562751,0.05656400966183567,0.11085144927536231,0.1833333333333333
Superavit_calorico_basal,1532,36.220476507275905,18.67508695072881,16.15960959286113,11.928571274958161,0.5155947340167486,19.491020635805913,34.27317345231455,53.54800669269382
HRV_SDNN,1532,56.44232552013484,16.67632612124175,19.941813571428582,14.761349373749994,0.2954578141060605,37.57383566666667,54.361961666666666,78.45148928571429
FC_al_caminar_promedio_diario,1532,96.40274151436032,10.329547343666238,12.5,9.636899999999999,0.10714993351229053,84.0,95.5,109.0
FCr_promedio_diario,1532,50.47648265339426,5.26151107548406,7.0,5.9304,0.10423688020445405,44.0,50.0,58.0
Delta_cardiaco,1532,45.92625886096606,10.133905757371574,12.25,8.8956,0.2206560257400946,34.0,45.0,58.5
